,x,y
0,-5.0,-7.672309213774009
1,-4.966555183946488,-7.779734517785404
2,-4.933110367892977,-7.995938349837362
3,-4.8996655518394645,-8.197058502287891
4,-4.866220735785953,-8.183883447872761
5,-4.832775919732441,-8.294583870428044
6,-4.79933110367893,-8.789108619905587
7,-4.765886287625418,-8.131185000490298
8,-4.7324414715719065,-8.367926232188761
9,-4.698996655518394,-8.449548670279784
10,-4.665551839464883,-7.686395062809118
11,-4.632107023411371,-7.884779111713495
12,-4.59866220735786,-7.40758370858694
13,-4.565217391304348,-8.149296368695282
14,-4.531772575250836,-7.698753306457693
15,-4.498327759197324,-7.209703841645482
16,-4.464882943143813,-7.693224736041597
17,-4.431438127090301,-7.005247350337088
18,-4.39799331103679,-7.3599897481016505
19,-4.364548494983278,-6.750680240727842
20,-4.331103678929766,-7.4249311343870765
21,-4.297658862876254,-5.717106515468041
22,-4.264214046822742,-5.827572739109059
23,-4.230769230769231,-7.022723259587224
24,-4.19732441471572,-6.477762669231767
25,-4.1638795986622075,-6.5379209430940595
26,-4.130434782608695,-6.199351168608523
27,-4.096989966555184,-5.4012444332555765
28,-4.063545150501672,-5.183321367758454
29,-4.030100334448161,-4.94806613595341
30,-3.9966555183946486,-5.9588670139285576
31,-3.9632107023411374,-5.055988335965847
32,-3.9297658862876252,-6.163280337718589
33,-3.896321070234114,-5.260652226427859
34,-3.862876254180602,-4.461189588769009
35,-3.8294314381270906,-4.250469942862925
36,-3.7959866220735785,-5.188735791213787
37,-3.7625418060200673,-5.509146146562051
38,-3.729096989966555,-4.97235048877106
39,-3.6956521739130435,-5.333269655765433
40,-3.6622073578595318,-3.9572248387125937
41,-3.62876254180602,-4.149055664493958
42,-3.5953177257525084,-4.955874457859213
43,-3.5618729096989967,-4.030243685843214
44,-3.528428093645485,-4.332176030245413
45,-3.4949832775919734,-4.817008349132875
46,-3.4615384615384617,-4.564804163660334
47,-3.42809364548495,-5.401765804464134
48,-3.3946488294314383,-4.5204460718545185
49,-3.361204013377926,-4.27990572791023
50,-3.327759197324415,-4.675812677586517
51,-3.294314381270903,-4.393284560723114
52,-3.2608695652173916,-5.277742639388693
53,-3.2274247491638794,-4.664473786357007
54,-3.193979933110368,-4.807266064507394
55,-3.160535117056856,-5.159392872069294
56,-3.127090301003345,-4.309277719586534
57,-3.0936454849498327,-4.471369501600405
58,-3.0602006688963215,-4.708165528460132
59,-3.0267558528428093,-4.929656467128833
60,-2.9933110367892977,-5.615534766039346
61,-2.959866220735786,-5.160540519430589
62,-2.9264214046822743,-4.776761441232219
63,-2.8929765886287626,-5.120531985395963
64,-2.859531772575251,-4.913984192307944
65,-2.8260869565217392,-3.8654175057521725
66,-2.7926421404682276,-4.966301571707113
67,-2.759197324414716,-5.4181562216860994
68,-2.725752508361204,-5.604518870906897
69,-2.6923076923076925,-4.5495357940451955
70,-2.658862876254181,-6.037714671062444
71,-2.625418060200669,-5.6372737092490715
